Specimen| Name| spX100| odds| dna| lifePoint| incubMin| atk1| atk1p| atk2| atk2p| bank| unlockAttack| type| recipes| abilities| abilityPct1| abilityPct2| orbSlots| Attack1p_name| Attack2p_name| Description
Specimen_A_01| Robot| 250| 40| A| 1819| 5| 274:AOE| 413:AOE| 549| 825| 42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| | | 1:ability_shield;2:ability_shield_plus| 20| 30| n;s:20h| M2M Missiles| Flame Thrower| The Robot, the perfect fighting machine of the military industrial complex turned future gladiator for your enjoyment. The core of every successful cyber mix is this powerful steel behemoth, prepare to be blasted!
Specimen_AA_01| Android| 150| 40| AA| 1550| 60| 345| 519| 199:AOE| 298:AOE| 42| 1:1:a;2:5:a;1p:10:a;2p:15:a| | | 1:ability_shield;2:ability_shield_plus| 20| 30| n;s:20h| Ecstatic Charge| Cable Lash| More human than human? She’s not going to fool anyone, but she is the ultimate technological combatant. A true blending of pure cyber-research all wrapped in an attractive titanium shell!
Specimen_AB_01| Dead Bot| 140| 80| AB| 1197| 10| 254| 382| 254| 382| 42| 1:1:a;2:5:b;2p:15:b;1p:10:a| | | 1:ability_shield;2:ability_shield_plus| 20| 30| n| Reverse Matrix Bolt| Mortal Vortex| Necrotic science has enabled man to keep flesh ‘alive’ long after its expiration date. Combined with cybernetics the armored Dead Bot is a creation with a single desire, eradicate the living. Drawing from its own bodily fluids, its acid will dissolve even the sturdiest foe!
Specimen_AC_01| Stealth Bot| 200| 20| AC| 1431| 10| 391| 587| 391| 587| 42| 1:1:a;2:5:c;2p:15:c;1p:10:a| | | 1:ability_shield;2:ability_shield_plus| 20| 45| n;s:20h| Lazer Beam| Saber Slice| Man and machine in perfect harmony, that’s what the techs tell us. A perfectly trained assassin contained within a flexi-steel combat suit. You won’t see or even feel those molecular blades until it’s too late!
Specimen_AD_01| Beetle Bot| 290| 80| AD| 1838| 240| 657| 987| 657| 987| 42| 1:1:a;2:5:d;2p:15:d;1p:10:a| | | 1:ability_shield;2:ability_shield_plus| 20| 30| n| Barrel Bomb| Turbo Charge| Beetle combat had always been popular amongst small boys so the Beetle Bot was an instant success with children worldwide. But it’s not just kids who love this giant carapaced creature, nothing sends a crowd wild like the Beetle Bot doing its signature move. "Drill, baby, drill!"
Specimen_AE_01| Colossus| 230| 80| AE| 1656| 420| 495| 744| 495| 744| 42| 1:1:a;2:5:e;2p:15:e;1p:10:a| | | 1:ability_shield;2:ability_shield_plus| 20| 40| n| Electro Punch| Meteor Smash| Solar rays twisted and focused on base genes help create this hulking monstrosity. This colossus creature pulls no punches and his star move literally rips the stars from the sky!
Specimen_AF_01| Deus Machina| 190| 20| AF| 1395| 1440| 368| 552| 368| 552| 42| 1:1:a;2:5:f;2p:15:f;1p:10:a| | | 1:ability_shield;2:ability_shield_plus| 20| 50| n;s:20h| Pixilizer| Deus Ex Machina| Our Father who art quantum that Your Domination come, Your program is fulfilled on the network as in the Arena. Destroy our enemies as we destroy those who have offended you!
Specimen_B_01| Zombie| 160| 40| B| 1425| 5| 331| 496| 331| 496| 42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| | | 1:ability_regen;2:ability_regen_plus| 25| 35| n;s:20h| Toxic Tongue| Deadly Guerilla| Some people love them, some hate them, but all fear them. The base unit for any Necro fan starts here with the ever popular zombie model. No Feelings, No Remorse…
Specimen_BA_01| Zomborg| 220| 20| BA| 1846| 10| 439| 659| 439| 659| 42| 1:1:b;2:5:a;2p:15:a;1p:10:b| | | 1:ability_regen;2:ability_regen_plus| 30| 55| n;s:20h| Chuckling Chuck-Up| Fist throwing| Somebody knows what they're doing
Specimen_BB_01| Leech Lord| 240| 40| BB| 2151| 60| 609| 914| 349:AOE| 525:AOE| 42| 1:1:b;2:5:b;1p:10:b;2p:15:b| | | 1:ability_regen;2:ability_regen_plus| 30| 55| n;s:20h| Kiss of Death| Cloak of Night| Nothing gets the blood rising like the Leech Lord, you can count on him to make the audience swoon! The Leech Lord is a ladies favorite, so watch out guys he’s a real killer!
Specimen_BC_01| Dire Despot| 270| 80| BC| 1919| 10| 559| 840| 559| 840| 42| 1:1:b;2:5:c;2p:15:c;1p:10:b| | | 1:ability_regen;2:ability_regen_plus| 30| 48| n| Spectral Strike| Phantom Blade| The Dire Despot reigns without mercy over its domain, spreading death and destruction. It takes unnatural pleasure in its role of executioner. Prepare yourself, judgment will be ruthless!
Specimen_BD_01| Undead Dragon| 280| 20| BD| 1950| 720| 584| 877| 584| 877| 42| 1:1:b;2:5:d;2p:15:d;1p:10:b| | | 1:ability_regen;2:ability_regen_plus| 25| 48| n;s:20h| Blighted Breath| Jurassic Charge| The reanimated corpse of a dragon, a ruthless scavenger ready to swoop down upon its prey and savagely rip it to pieces. Its flames of acid do most of the damage, annihilating its enemies.
Specimen_BE_01| Ghostmonaut| 260| 80| BE| 1981| 420| 576| 864| 576| 864| 42| 1:1:b;2:5:e;2p:15:e;1p:10:b| | | 1:ability_regen;2:ability_regen_plus| 25| 48| n| Shrieking Skull| Sky Fall| Created from tales of terror in the final days of the International Space Station, this ghastly apparition spits in the face of science. But that’s nothing compared to what he does to his opponents. Don’t be embarrassed if you scream, everyone else will too!
Specimen_BF_01| Baron Lundi| 200| 80| BF| 1750| 600| 419| 629| 419| 629| 42| 1:1:b;2:5:f;2p:15:f;1p:10:b| | | 1:ability_regen;2:ability_regen_plus| 30| 55| n| Dance of Daggers| Soul Eater| There’s one contender that always feels home amongst the bones, Baron Lundi, when he’s not casting them he’s breaking them. He may be named Monday but he’s bad news everyday of the week!
Specimen_C_01| Warrior| 180| 40| C| 1516| 5| 380| 571| 380| 571| 42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;s:20h| Slice & Dice| Smack & Hack| The desire to create a super soldier through genetic manipulation dates back to the mid-twentieth century, but it wasn’t until Gene Arena that it was perfected. Not every warrior is a muscle bound brick
Specimen_CA_01| Enforcer| 240| 80| CA| 1567| 10| 485| 728| 485| 728| 42| 1:1:c;2:5:a;2p:15:a;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n| Arresting Punch| Gatling Gut| This cyborg supercop was retired from active service in the Earthopolis Security force. But in the arena, the fans enjoy its zero tolerance, expeditious judgments and fatal sentencing!
Specimen_CB_01| Blade Banshee| 160| 20| CB| 1280| 10| 299| 450| 299| 450| 42| 1:1:c;2:5:b;2p:15:b;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;s:20h| Scissor Slash| Wicked Uppercut| She's got moves, she’s got curves, she cuts her opponents to pieces. What’s not to love in this pale skinned beauty? Did we mention she’s a necro? So if you like your ‘gals’ cold and 20 feet tall you’re in luck.
Specimen_CC_01| Nordic Knightmare| 210| 40| CC| 1843| 60| 515| 774| 296:AOE| 444:AOE| 42| 1:1:c;2:5:c;1p:10:c;2p:15:c| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -40| n;s:20h| Vorpal Cleave| Thoratious Thunder| Yeah you know you like it big and they don’t come bigger than this! The Norse gods themselves would quake in their beds if they saw this guy coming and I wouldn’t blame them. I’d say he’s all man but he’s worth more than ten!
Specimen_CD_01| Honey Bunny| 90| 80| CD| 1085| 240| 181| 271| 181| 271| 42| 1:1:c;2:5:d;2p:15:d;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -20| n| Rabbit's Revenge| Rabbit Rush| Some folks like pretty, some like weird, so this honey bunny should appeal to both! This was one late night at the lab when the guys came up with her, but her swordplay is no joke. And in the end folks don’t we all like a little strange?
Specimen_CE_01| Martian Marauder| 115| 20| CE| 1109| 1260| 210| 345| 210| 345| 42| 1:1:c;2:5:e;2p:15:e;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;s:20h| Saturn's Ringer| Martian Gifts| Who ever said martians are little green men? Our guy is big and blue! What’s that? Mars is a dead planet? So are most of his opponents!
Specimen_CF_01| Valkyrie| 200| 80| CF| 1556| 600| 417| 625| 417| 625| 42| 1:1:c;2:5:f;2p:15:f;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -44| n| Piercing Light| Divine Judgement| So you guys were feeling a little left out after the Nordic Knightmare but don’t worry the boys in the white coats may not measure up to most men, but they still have their eye on the prize. Beauty and brawn, and the power to light a city. Go on try your best line, we dare you!
Specimen_D_01| Beast| 200| 40| D| 1613| 180| 426| 640| 426| 640| 42| 1:1:d;2:5:neutre;1p:10:d;2p:15:neutre| | | 1:ability_slash;2:ability_slash_plus| -20| -30| n;s:20h| Mad Maul| Lunar Infusion| The Beast, the ultimate predator, there is no escape from the savagery and animal cunning contained in these mutants. Maybe you wouldn’t want a beast as a pet but every psy-captain wants one in his team.
Specimen_DA_01| Reptoïd| 150| 20| DA| 1492| 720| 298| 485| 298| 485| 42| 1:1:d;2:5:a;2p:15:a;1p:10:d| | | 1:ability_slash;2:ability_slash_plus| -20| -40| n;s:20h| Savage Chomp| Thermal Detonation| Some people don’t like scales, but there’s nothing slimy about the reptoïd. A cold blooded competitor that combines speed with savage attacks and a little technological know how!
Specimen_DB_01| Cerberus| 170| 80| DB| 1485| 240| 320| 481| 320| 481| 42| 1:1:d;2:5:b;2p:15:b;1p:10:d| | | 1:ability_slash;2:ability_slash_plus| -20| -55| n| Portal Shred| Fires of Hell| Guarding the gates of Hades just wasn’t tough enough for this oversized pooch. This fearsome opponent will scare you back to the underworld and as for strategy they say two heads are better than one, so what about three!
Specimen_DC_01| Rakshasa| 140| 20| DC| 1444| 720| 275| 414| 275| 414| 42| 1:1:d;2:5:c;2p:15:c;1p:10:d| | | 1:ability_slash;2:ability_slash_plus| -20| -50| n;s:20h| Ferocious Kick| Singing Swords| From the mysterious mountain labs of Indo-Asia comes Rakshasa. Blending traditional fighting styles with his genetically brewed build is something to behold. Very few live to see another sunrise after a bout in the arena with him!
Specimen_DD_01| Kaiju Kitty| 180| 40| DD| 1859| 360| 431| 646| 248:AOE| 373:AOE| 42| 1:1:d;2:5:d;1p:10:d;2p:15:d| | | 1:ability_slash;2:ability_slash_plus| -20| -50| n;s:20h| Biting the Hand| Cuddly Invasion| Oh what a cutie pie, you could just drown in those eyes! But mind out kitties got claws and huge gaping jaws. She’s a family favorite and what’s more adorable than a little bitty kitty!
Specimen_DE_01| Parasite Queen| 130| 80| DE| 1316| 540| 231| 347| 231| 347| 42| 1:1:d;2:5:e;2p:15:e;1p:10:d| | | 1:ability_slash;2:ability_slash_plus| -20| -70| n| Bacterial Injection| Insect Fury| Well hello ugly! She’s not what I usually think of when I hear the word queen, but enough about my private life now on to the fighter. She may not win any beauty contests but she’s definitely a queen of the arena!
Specimen_DF_01| Dracus Nobilis| 300| 20| DF| 1882| 1440| 639| 960| 639| 960| 42| 1:1:d;2:5:f;2p:15:f;1p:10:d| | | 1:ability_slash;2:ability_slash_plus| -20| -40| n;s:20h| Double Dragon| Fire Breath| From the pages of legends comes this awesome beast, with a few fiery licks he can turn almost any opponent to ash. Few creatures are as impressive or deadly, a true king of the ring.
Specimen_E_01| Alien| 90| 40| E| 1049| 360| 165| 250| 165| 250| 42| 1:1:e;2:5:neutre;1p:10:e;2p:15:neutre| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;s:20h| Saucer Strike| Dimensional Stomp| There are eyes out there in the void, our scientists have found the evidence. For decades this was kept away from the public, but now thanks to Gene Arena you can get a glimpse of that life. We’ve answered the question, and it’s NO we’re not alone in the universe.
Specimen_EA_01| Planet Cleaner| 280| 20| EA| 1802| 1260| 632| 950| 632| 950| 42| 1:1:e;2:5:a;2p:15:a;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;s:20h| Disintegrator| Techno Rage| You wouldn’t want this guy to tickle you, but there’s nothing quite like watching him run his diamond tipped blade through somebody else. I got to say I prefer my maid but the planet cleaner does an impressive job of mopping up in the arena.
Specimen_EB_01| Tutti Gooey| 230| 20| EB| 1648| 1260| 499| 749| 499| 749| 42| 1:1:e;2:5:b;2p:15:b;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 35| n;s:20h| Pseudo Punch| Gut Buster| Tutti gooey! I’ve had ice creams on hot days that have looked more appealing than this… I can’t even use the word guy. I mean is it male, is it female or is it an it! You know what it doesn’t matter and it doesn’t care, its only desire is to sink its tentacles into its next victim, I mean contestant!
Specimen_EC_01| Bounty Bug| 190| 80| EC| 1403| 420| 366| 549| 366| 549| 42| 1:1:e;2:5:c;2p:15:c;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 35| n| Quick Draw| Desperado| Yee Haw! This gun slinging grasshopper may seem far from home, but he’s taken up a permanent residency in the hearts and minds of fans worldwide. Bounty Bug is one mean hombre… and stylish to boot!
Specimen_ED_01| Xenos| 120| 20| ED| 1151| 1440| 232| 350| 232| 350| 42| 1:1:e;2:5:d;2p:15:d;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;s:20h| Venom Spit| Tail Sting| Some critters are just mean to live and some live to be mean, the Xenos is both. A genetically engineered nightmare whose one reason for existence is to wipe out others!
Specimen_EE_01| Astro Surfer| 260| 40| EE| 2025| 720| 671| 1006| 385:AOE| 579:AOE| 42| 1:1:e;2:5:e;1p:10:e;2p:15:e| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;s:20h| Stellar Punishment| Alpha Centauri| From the mysterious depths of… well nobody knows! An enigma, some say the International Space Station was brought down when they first engineered this cosmic bad boy. All we know is that he started showing up on the circuit and there’s been no stopping him since!
