Specimen|Name|Speed|odds|dna|Life|incubMin|atk1|atk1p|atk2|atk2p|bank|unlockattack|Type|reciper|abilities|abilityPct1|abilityPct2|orbSlots
Specimen_A_01| Robot|250|40| A|1819|5| 274:AOE| 413:AOE| 549| 825|42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| | | 1:ability_shield;2:ability_shield_plus|20|30| n;s:20h
Specimen_AA_01| Android|150|40| AA|1550|60| 345| 519| 199:AOE| 298:AOE|42| 1:1:a;2:5:a;1p:10:a;2p:15:a| | | 1:ability_shield;2:ability_shield_plus|20|30| n;s:20h
Specimen_AB_01| Dead Bot|140|80| AB|1197|10| 254| 382| 254| 382|42| 1:1:a;2:5:b;2p:15:b;1p:10:a| | | 1:ability_shield;2:ability_shield_plus|20|30| n
Specimen_AC_01| Stealth Bot|200|20| AC|1431|10| 391| 587| 391| 587|42| 1:1:a;2:5:c;2p:15:c;1p:10:a| | | 1:ability_shield;2:ability_shield_plus|20|45| n;s:20h
Specimen_AD_01| Beetle Bot|290|80| AD|1838|240| 657| 987| 657| 987|42| 1:1:a;2:5:d;2p:15:d;1p:10:a| | | 1:ability_shield;2:ability_shield_plus|20|30| n
Specimen_AE_01| Colossus|230|80| AE|1656|420| 495| 744| 495| 744|42| 1:1:a;2:5:e;2p:15:e;1p:10:a| | | 1:ability_shield;2:ability_shield_plus|20|40| n
Specimen_AF_01| Deus Machina|190|20| AF|1395|1440| 368| 552| 368| 552|42| 1:1:a;2:5:f;2p:15:f;1p:10:a| | | 1:ability_shield;2:ability_shield_plus|20|50| n;s:20h
Specimen_B_01| Zombie|160|40| B|1425|5| 331| 496| 331| 496|42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| | | 1:ability_regen;2:ability_regen_plus|25|35| n;s:20h
Specimen_BA_01| Zomborg|220|20| BA|1846|10| 439| 659| 439| 659|42| 1:1:b;2:5:a;2p:15:a;1p:10:b| | | 1:ability_regen;2:ability_regen_plus|30|55| n;s:20h
Specimen_BB_01| Leech Lord|240|40| BB|2151|60| 609| 914| 349:AOE| 525:AOE|42| 1:1:b;2:5:b;1p:10:b;2p:15:b| | | 1:ability_regen;2:ability_regen_plus|30|55| n;s:20h
Specimen_BC_01| Dire Despot|270|80| BC|1919|10| 559| 840| 559| 840|42| 1:1:b;2:5:c;2p:15:c;1p:10:b| | | 1:ability_regen;2:ability_regen_plus|30|48| n
Specimen_BD_01| Undead Dragon|280|20| BD|1950|720| 584| 877| 584| 877|42| 1:1:b;2:5:d;2p:15:d;1p:10:b| | | 1:ability_regen;2:ability_regen_plus|25|48| n;s:20h
Specimen_BE_01| Ghostmonaut|260|80| BE|1981|420| 576| 864| 576| 864|42| 1:1:b;2:5:e;2p:15:e;1p:10:b| | | 1:ability_regen;2:ability_regen_plus|25|48| n
Specimen_BF_01| Baron Lundi|200|80| BF|1750|600| 419| 629| 419| 629|42| 1:1:b;2:5:f;2p:15:f;1p:10:b| | | 1:ability_regen;2:ability_regen_plus|30|55| n
Specimen_C_01| Warrior|180|40| C|1516|5| 380| 571| 380| 571|42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;s:20h
